"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","2E-09","No"
"0x020eff5ec9c2cce7307b1b5d72b76dda7bcf0e41","60000","No"
"0x021ff595fafaf4b7c05a3b4731eb6ae6e0a98d63","18000","No"
"0x034dfa962f332b7daf4e293c5436f910cd6c995d","60000","No"
"0x03a4591f2782d30b8f315d8d852f9233e1e25b4a","60000","No"
"0x046b4af1c1deeb58ce5630d7ddcd2f709455c24f","60000","No"
"0x04ca2c4161cfdda1c11f90c8b3b31af366009983","60000","No"
"0x053b5ac05c40a4bb348a6047da6979dd34f2822d","60000","No"
"0x054a9889923fddb425187643d3717cf9288516c4","60000","No"
"0x07921846b663d510da925e1af5432d4cfe681412","60000","No"
"0x082f53e57f3a8c5c0033e8589e0cca6c8879602b","60000","No"
"0x08a98377775bee43fbbc70f6286bad83e6f89470","60000","No"
"0x09ced08a9c5c5ddb0504da2cefd3394e40e11284","23560882.3227869","No"
"0x09efdffd8a05bafc402883fcbd967b87ed6a2aaf","60000","No"
"0x0a624f1218435cad522aa8709a81e517fff56dde","60000","No"
"0x0d8c8d9619d631d3c2f1e17c0f2b646cefe6e430","60000","No"
"0x0f4fc2d34d88e21d3a7c3b9a80af1f013b7b6b3a","60000","No"
"0x125885584955f116f112844e02753a5565893aa4","60000","No"
"0x178b3b53858c5e90ecadc2ac61e62b29ce03b56d","60000","No"
"0x188bf632978219b74f57cf092954d3cd2910a171","60000","No"
"0x188d8101cc71a730d889ecbf4df269a06941c50b","60000","No"
"0x18a45445ffbe36a66afcf1b5c81b440fad0d87c9","60000","No"
"0x18d301c6e31e77b7cb5c6fc0ddc01a739526559d","60000","No"
"0x18ea4ab45b290e55961989e8b18f5a13a6c5123e","30000","No"
"0x190d3dacff9a215c05c343fc500159c7d2f082f6","60000","No"
"0x19c01e2e48a4c97c2f94335f08cfbf9e9e86c00b","60000","No"
"0x1abf00d4df7d5894e7879ce23560981d3a68dfda","60000","No"
"0x1bd454a2f0d347403527c3976dd3dd87709d30ac","60000","No"
"0x1d04a658acafaa02a1e76f75aaec7fbc823d03b4","60000","No"
"0x1e059c116801b433f02934dc4e329de229bdfb8e","60000","No"
"0x1fca6de92d4d5df024e8a1d382049b5dbae70820","60000","No"
"0x2019e11b1768cf92a6e05b3005acacf9f2e1a9d9","45000","No"
"0x20625f26b47830aa7bcc1c89bd18a7d92f28668e","60000","No"
"0x21e809771f751938a3e96f9082aa05fdd0ecaa86","60000","No"
"0x22c1ca6ee6707e49aaec55a462dae5efb1b59dc5","60000","No"
